payasam_type,milk_ml,water_ml,main_ingredient_g,sugar_g,cooking_time_min,temperature_c,consistency_score
Paal,648,120,64,132,46,83,56.63
Semiya,623,295,95,196,16,68,53.39
Semiya,659,277,92,64,24,63,52.46
Rice,500,516,133,180,16,74,64.13
Palada,502,574,52,188,16,84,48.1
Paal,486,106,38,79,38,71,43.48
Palada,594,169,63,106,31,82,60.92
Palada,209,226,75,195,46,62,69.88
Rice,469,498,107,177,30,82,66.71
Paal,791,565,33,97,30,73,30.81
Paal,560,259,59,185,60,76,63.42
Parippu,456,347,124,71,53,78,83.72
Palada,332,302,131,55,45,65,80.07
Palada,475,247,104,153,57,63,73.05
Semiya,712,571,128,85,38,66,61.86
Parippu,512,242,101,128,15,89,64.28
Semiya,775,531,32,165,25,78,40.48
Semiya,483,298,43,106,35,76,54.94
Semiya,320,504,89,98,18,84,62.17
Rice,306,525,106,131,21,75,66.73
Rice,403,253,74,115,40,74,65.75
Semiya,364,591,125,126,26,81,59.34
Parippu,504,475,63,94,45,67,56.01
Palada,696,483,74,128,31,78,45.48
Parippu,755,241,90,69,47,67,69.74
Paal,355,412,112,172,25,77,66.61
Rice,566,264,131,116,42,87,81.1
Palada,450,413,45,132,46,75,57.81
Palada,533,120,95,52,15,79,70.66
Paal,710,181,69,113,42,78,52.51
Paal,492,168,46,89,56,69,57.14
Semiya,219,230,148,108,21,76,79.5
Rice,481,186,63,111,16,90,58.92
Rice,200,317,135,181,56,72,95.39
Parippu,318,520,45,109,38,72,56.59
Semiya,234,571,131,165,18,66,64.55
Semiya,397,404,89,124,58,86,73.1
Semiya,684,502,95,171,33,69,52.86
Semiya,258,470,95,156,40,61,67.77
Rice,360,444,119,145,25,63,69.53
Rice,405,440,42,140,54,84,63.09
Semiya,211,483,85,179,57,65,69.42
Parippu,689,495,140,111,25,83,65.86
Palada,475,544,60,98,59,77,56.94
Palada,441,524,63,186,17,82,56.48
Parippu,415,260,68,141,26,65,65.91
Semiya,450,277,96,173,17,88,67.01
Rice,325,216,37,110,56,89,73.69
Palada,416,295,116,97,41,84,73.52
Paal,505,482,107,185,16,82,57.43
Paal,384,589,149,107,30,76,64.42
Parippu,238,426,84,150,16,73,66.34
Semiya,422,185,56,161,44,83,69.83
Palada,383,388,147,111,34,70,80.17
Semiya,694,180,122,88,52,85,71.26
Palada,626,251,132,107,42,90,77.82
Parippu,377,160,82,148,39,78,71.87
Parippu,627,160,68,93,46,89,69.65
Paal,493,453,94,78,24,61,43.04
Semiya,350,127,46,108,56,87,64.0
Paal,583,541,134,120,54,62,66.28
Semiya,507,142,59,141,47,70,52.91
Paal,535,268,82,58,27,65,57.71
Rice,574,522,42,176,55,88,62.08
Rice,207,185,50,183,56,73,70.09
Rice,540,276,48,194,51,78,75.28
Rice,328,116,82,193,30,85,87.39
Palada,551,197,48,180,59,75,66.34
Rice,557,553,86,70,36,80,54.31
Parippu,716,593,54,113,34,81,55.74
Parippu,694,297,115,139,57,83,76.95
Palada,285,197,60,85,41,66,67.55
Rice,374,164,110,111,55,89,90.32
Rice,392,429,84,125,30,86,64.8
Rice,510,440,52,62,48,67,55.86
Paal,318,104,61,60,46,78,57.12
Semiya,417,101,91,103,40,79,68.67
Paal,626,121,103,65,39,75,60.12
Semiya,613,211,39,57,16,81,38.5
Rice,313,156,129,153,26,86,79.3
Rice,344,165,101,108,54,66,82.09
Paal,737,429,83,106,23,68,34.96
Paal,502,197,81,89,26,72,50.7
Semiya,787,243,49,179,40,60,58.07
Parippu,544,467,61,143,23,88,54.91
Semiya,200,534,143,187,24,90,74.37
Paal,346,224,43,93,46,67,53.43
Paal,486,266,79,188,48,83,62.06
Palada,252,185,57,129,34,81,70.31
Paal,503,175,139,130,53,63,78.34
Palada,268,443,145,51,16,62,69.31
Parippu,560,594,82,189,15,86,55.53
Semiya,419,523,53,164,50,62,61.26
Semiya,774,393,108,139,38,81,53.49
Palada,784,543,51,72,41,72,43.59
Semiya,360,158,59,195,16,67,59.76
Paal,288,237,92,111,45,66,63.87
Rice,784,198,33,162,28,86,50.4
Palada,788,291,106,177,16,60,53.69
Semiya,358,342,88,111,43,86,70.27
Palada,688,418,116,87,29,75,55.46
Palada,523,148,37,110,26,65,57.66
Rice,580,547,111,178,51,66,69.96
Paal,301,131,41,198,42,71,58.84
Palada,693,490,148,171,34,82,66.91
Semiya,218,376,60,159,53,68,71.58
Parippu,653,119,107,62,38,86,71.28
Palada,681,253,63,149,35,70,52.36
Palada,793,482,111,184,24,69,61.11
Rice,596,167,149,71,60,80,84.17
Paal,478,465,127,123,28,60,58.69
Parippu,564,471,104,181,51,77,77.28
Semiya,530,313,134,72,32,90,70.56
Parippu,543,242,105,168,38,63,81.92
Semiya,654,475,78,119,28,64,45.48
Paal,800,331,108,133,48,68,56.34
Semiya,264,312,86,150,26,86,66.12
Rice,275,178,124,133,36,90,88.29
Rice,342,313,142,77,20,76,81.99
Rice,672,215,122,185,50,62,78.59
Rice,616,191,55,50,59,75,64.02
Parippu,504,369,47,112,50,64,55.82
Paal,696,510,125,71,36,75,54.28
Semiya,490,480,115,119,28,62,58.17
Semiya,301,588,67,174,30,79,58.6
Rice,466,267,110,198,50,74,79.29
Rice,202,157,116,145,39,89,86.68
Palada,284,383,117,128,46,62,71.66
Paal,527,125,79,54,47,79,53.34
Parippu,649,468,37,109,59,73,64.21
Semiya,653,546,70,169,50,90,56.26
Palada,420,165,35,95,34,75,59.42
Palada,353,508,98,183,32,88,64.63
Semiya,211,347,73,105,52,88,74.13
Parippu,332,353,150,159,17,90,85.72
Palada,503,486,93,153,37,90,61.38
Palada,492,555,58,126,46,76,51.84
Paal,499,143,57,195,59,87,62.24
Parippu,242,196,40,51,30,83,64.36
Palada,542,141,150,57,19,79,75.81
Parippu,525,599,94,124,18,82,58.23
Semiya,697,326,136,174,35,77,74.49
Rice,563,361,48,87,54,77,57.21
Palada,626,266,38,76,28,81,44.45
Paal,220,535,56,69,53,73,54.8
Semiya,606,378,63,189,45,77,50.96
Parippu,535,188,73,92,28,74,67.51
Semiya,316,478,97,80,20,74,58.8
Palada,323,277,129,140,26,65,75.13
Parippu,598,526,111,110,30,86,63.68
Rice,250,502,44,158,31,74,62.47
Semiya,523,296,80,140,59,77,71.6
Palada,340,406,42,144,37,63,55.98
Paal,669,366,112,192,28,82,60.01
Parippu,533,367,78,193,21,67,65.73
Semiya,572,173,99,62,60,74,72.79
Semiya,763,107,141,162,46,62,75.08
Rice,693,507,85,84,29,89,56.18
Rice,738,575,105,198,58,74,63.57
Paal,355,396,80,97,31,72,54.76
Paal,490,263,66,84,55,68,56.84
Palada,343,584,46,135,58,61,57.59
Palada,305,184,87,163,48,83,71.95
Paal,619,171,116,149,19,67,55.13
Paal,201,154,119,148,59,88,82.48
Parippu,788,492,58,52,41,89,54.78
Rice,289,146,62,134,37,79,73.22
Palada,544,498,89,174,54,76,70.86
Rice,549,531,120,187,28,72,72.28
Rice,658,337,118,132,29,60,67.72
Paal,462,203,149,74,57,61,78.49
Parippu,550,309,84,117,47,89,67.63
Semiya,307,141,39,110,45,74,70.8
Parippu,785,415,76,78,49,71,53.36
Parippu,238,567,52,176,31,73,62.29
Rice,358,553,114,68,42,84,74.54
Parippu,782,367,50,123,33,88,56.11
Palada,511,485,136,110,60,61,72.33
Rice,440,362,42,69,37,77,54.39
Palada,644,435,130,97,46,81,67.3
Semiya,497,486,62,136,54,66,49.58
Rice,235,464,53,188,27,88,63.63
Semiya,283,358,137,159,34,82,75.77
Rice,651,382,40,77,49,90,60.79
Paal,584,213,46,108,19,88,46.38
Parippu,371,462,97,182,23,84,69.87
Paal,575,139,76,100,43,65,55.78
Semiya,561,585,54,198,20,73,44.66
Parippu,758,516,123,61,39,67,62.58
Rice,340,319,102,99,45,86,77.29
Parippu,317,228,50,181,36,81,77.8
Palada,476,107,113,162,16,61,66.58
Parippu,419,200,112,63,59,76,83.68
Palada,225,515,112,81,19,64,67.82
Parippu,720,479,41,188,41,73,51.36
Palada,209,275,66,195,39,84,79.19
Semiya,577,206,71,104,22,83,57.84
Paal,783,200,46,169,15,89,37.4
Rice,351,359,130,124,34,88,80.45
Parippu,248,577,147,70,58,79,84.27
Paal,353,553,77,182,37,80,52.17
Rice,492,465,132,136,46,88,77.35
Rice,779,345,57,108,25,80,54.38
Palada,249,374,70,138,53,81,75.22
Semiya,730,131,128,199,38,62,72.07
Semiya,259,236,76,132,25,64,66.91
Paal,366,111,141,114,43,75,80.26
Semiya,401,494,47,113,40,77,47.6
Parippu,345,401,107,120,30,85,73.51
Semiya,638,474,128,53,49,76,64.9
Paal,441,115,137,192,34,70,79.01
Semiya,780,228,134,153,60,76,73.65
Parippu,760,162,100,199,17,75,62.56
Palada,682,208,134,142,15,85,68.52
Paal,307,474,42,191,15,82,42.08
Palada,425,600,111,197,31,61,63.78
Palada,631,120,130,161,16,63,70.18
Palada,618,257,42,168,43,80,56.21
Rice,654,368,129,108,34,66,73.14
Rice,359,261,60,92,20,61,64.66
Palada,722,359,31,61,22,89,44.3
Paal,789,511,45,89,43,65,28.73
Parippu,276,201,38,167,47,76,69.09
Parippu,708,322,102,69,17,66,57.97
Semiya,640,158,67,180,49,84,57.32
Paal,453,346,104,139,19,64,52.29
Rice,519,227,83,143,41,64,68.47
Palada,462,382,85,62,58,79,66.89
Semiya,796,424,115,115,26,75,54.86
Parippu,753,124,126,86,34,78,68.92
Rice,573,230,129,115,59,68,80.83
Rice,366,452,138,85,34,64,76.01
Palada,658,295,116,75,23,67,61.82
Parippu,479,380,74,124,53,68,71.47
Paal,501,503,138,157,18,64,60.03
Rice,730,517,63,92,33,69,46.9
Palada,779,253,38,199,52,84,57.53
Paal,417,481,117,197,41,61,61.37
Parippu,301,232,37,57,59,68,68.07
Rice,753,326,36,78,57,70,49.35
Paal,487,288,65,89,27,63,52.64
Paal,366,575,47,177,27,81,43.7
Paal,235,576,32,133,36,81,50.16
Rice,552,364,57,165,42,81,62.94
Rice,272,471,99,193,59,61,76.2
Semiya,552,585,137,111,36,82,66.16
Parippu,269,533,73,56,57,88,74.55
Palada,624,233,50,94,33,65,52.85
Paal,760,310,57,137,22,86,41.56
Semiya,716,159,133,122,22,73,64.09
Palada,627,527,83,86,56,60,59.32
Semiya,738,476,83,168,40,77,55.1
Rice,359,494,94,106,40,66,65.23
Paal,348,549,129,57,37,60,56.73
Palada,429,530,50,144,57,90,66.72
Palada,761,463,136,166,27,60,65.65
Palada,266,463,128,159,42,60,75.91
Palada,580,556,42,69,23,83,42.87
Palada,257,312,86,173,34,63,65.28
Semiya,458,315,78,102,33,63,50.64
Paal,541,325,147,168,53,88,81.05
Rice,329,569,83,61,26,77,60.02
Rice,371,230,39,66,29,86,58.45
Rice,408,175,82,113,45,70,74.65
Rice,553,575,73,91,28,86,66.43
Semiya,670,385,76,143,25,60,53.33
Parippu,315,573,82,196,40,87,66.68
Paal,463,595,103,60,56,69,51.11
Palada,641,376,75,147,41,68,63.38
Parippu,747,255,42,120,25,82,55.07
Rice,652,347,66,157,52,63,65.18
Parippu,676,317,131,107,48,87,75.05
Paal,486,289,53,83,57,65,56.14
Palada,502,516,31,69,33,89,43.11
Palada,510,568,115,99,20,75,61.67
Paal,407,262,110,151,60,61,76.77
Paal,645,279,129,187,52,82,69.01
Rice,254,133,43,101,56,77,78.01
Palada,211,140,39,64,42,69,65.82
Parippu,599,406,64,133,15,83,55.92
Semiya,714,530,54,180,49,83,45.38
Semiya,741,437,32,86,54,76,46.01
Paal,436,413,140,175,22,72,62.56
Rice,478,174,131,89,21,83,77.67
Semiya,547,540,46,121,25,77,48.91
Palada,303,378,41,89,53,81,63.85
Paal,716,275,83,105,18,72,41.92
Parippu,447,483,145,200,39,76,85.14
Paal,563,249,53,153,26,64,48.44
Parippu,520,372,58,188,40,70,72.07
Paal,485,424,72,159,52,66,57.78
Paal,348,207,54,185,60,88,64.38
Paal,283,238,129,142,26,69,73.93
Parippu,605,449,89,143,57,76,70.1
Parippu,655,370,119,105,51,74,74.97
Paal,360,446,131,109,60,77,70.13
Semiya,659,518,94,187,38,82,57.47
Rice,749,388,113,88,30,81,62.32
Rice,699,311,148,77,27,78,71.03
Rice,708,480,57,98,39,89,49.93
Parippu,680,371,45,174,18,85,52.27
Parippu,313,517,76,62,25,61,56.03
Semiya,777,165,110,85,46,85,61.79
Rice,560,582,133,150,21,63,67.34
Rice,540,523,121,75,60,62,75.3
Paal,648,347,87,135,25,66,43.74
Parippu,379,255,105,53,42,83,70.23
Rice,606,146,56,131,55,77,63.93
Semiya,395,522,147,176,37,69,73.88
Semiya,665,553,82,137,59,66,62.18
Rice,510,300,71,176,37,67,64.58
Parippu,461,247,88,169,42,65,71.5
Semiya,618,223,76,71,57,81,64.55
Paal,605,100,123,179,40,85,71.24
Semiya,342,555,134,80,39,60,63.03
Palada,541,346,63,168,43,63,55.2
Palada,515,442,66,60,33,73,48.24
Parippu,300,227,35,95,47,76,77.15
Rice,443,290,36,145,50,79,66.63
